user_id,username,role,department,login_timestamp,login_hour,day_of_week,device_type,device_trusted,ip_address,country,city,vpn_used,failed_attempts,mfa_enabled,login_success,session_duration_minutes,privileged_account,critical_system_access,previous_risk_score,jit_requests_last_30_days,number_of_alerts,number_of_sessions,weekend_login,login_frequency_last_7_days,behavior_anomaly_score,risk_label
USR00010,espinozakathryn,Developer,Finance,2026-01-24 10:56:33,8,Thursday,MacBook,True,208.113.163.164,India,Pune,False,1,False,True,394,False,False,17.24,1,0,5,False,12,16.62,LOW
USR00011,jessicatran,SecurityAnalyst,Security,2026-01-07 21:25:13,17,Friday,MacBook,True,187.211.115.153,India,Delhi,False,0,False,True,147,False,False,15.05,0,1,0,False,3,15.53,LOW
USR00012,rachelcooper,Admin,Security,2026-01-06 07:33:27,8,Tuesday,Mobile,True,108.146.232.140,India,Hyderabad,False,0,True,False,38,True,False,3.02,0,1,4,False,6,9.51,LOW
USR00013,pchristensen,Admin,Operations,2026-04-03 18:07:29,1,Saturday,Windows Laptop,False,150.20.252.102,Netherlands,Amsterdam,True,5,True,True,234,True,True,68.02,10,2,26,True,3,105.01,HIGH
USR00014,mccarthyleslie,DBA,IT,2026-05-06 19:09:15,19,Thursday,MacBook,True,141.124.161.7,Singapore,Singapore,True,2,False,False,146,True,True,38.7,3,0,9,False,5,38.35,MEDIUM
USR00015,chelsea45,DBA,Security,2026-04-26 04:12:23,14,Saturday,Tablet,True,68.133.112.54,India,Delhi,False,0,True,True,29,True,False,23.35,1,0,0,True,13,14.68,LOW
USR00016,sherylbarnes,DBA,Operations,2026-01-27 07:25:09,13,Thursday,Tablet,True,168.48.10.41,India,Pune,False,0,True,True,386,True,False,11.81,1,1,0,False,12,16.91,LOW
USR00017,xwilliams,Admin,IT,2026-02-19 20:45:31,4,Monday,Mobile,False,6.228.10.101,Singapore,Singapore,True,5,True,False,151,True,True,75.54,8,9,20,False,4,158.77,HIGH
USR00018,parkserin,SecurityAnalyst,IT,2026-03-02 23:01:56,18,Tuesday,Windows Laptop,True,28.85.107.100,India,Mumbai,False,1,True,True,378,False,False,5.57,0,0,5,False,2,7.79,LOW
USR00019,robertschmidt,SecurityAnalyst,IT,2026-06-15 06:14:17,16,Sunday,Linux Workstation,True,143.103.73.102,India,Pune,False,1,True,True,37,False,False,17.59,0,1,4,True,3,21.8,LOW
USR00020,ericawilliams,DBA,Operations,2026-03-29 07:59:09,17,Monday,Tablet,True,209.69.29.198,Netherlands,Amsterdam,False,3,False,True,185,True,True,44.16,4,0,9,False,12,49.08,MEDIUM
USR00021,angelicaroberts,DBA,Security,2026-01-07 09:23:21,4,Tuesday,Tablet,False,111.222.166.139,Brazil,Sao Paulo,True,6,False,True,487,True,True,94.1,3,6,17,False,18,134.05,HIGH
USR00022,philliptorres,DBA,Operations,2026-06-07 19:06:20,13,Friday,Windows Laptop,True,218.9.201.82,India,Mumbai,False,1,False,True,188,True,False,17.38,1,0,1,False,9,16.69,LOW
USR00023,virginiarivera,Manager,Finance,2026-03-05 08:42:23,16,Friday,Mobile,True,128.155.143.205,Netherlands,Amsterdam,False,1,True,True,37,False,True,35.13,5,3,3,False,10,61.56,MEDIUM
USR00024,idavis,DBA,Operations,2026-06-17 14:15:14,14,Tuesday,Tablet,True,16.45.67.10,India,Hyderabad,False,1,False,True,144,True,False,18.22,0,0,3,False,13,14.11,LOW
USR00025,elee,DBA,Operations,2026-02-09 04:05:06,8,Thursday,MacBook,True,177.245.120.95,India,Mumbai,False,0,False,True,148,True,False,23.24,0,0,2,False,19,11.62,LOW
USR00026,kenneth34,Manager,IT,2026-01-12 19:00:52,0,Tuesday,Mobile,False,159.41.50.220,Singapore,Singapore,True,8,True,False,93,False,True,97.29,10,2,12,False,1,134.65,HIGH
USR00027,julieroberts,DBA,IT,2026-03-02 06:11:03,6,Sunday,Linux Workstation,True,131.88.59.192,Netherlands,Amsterdam,False,3,True,True,30,True,True,58.49,4,2,10,True,2,72.25,MEDIUM
USR00028,wgomez,Developer,Security,2026-05-07 20:46:47,16,Thursday,Mobile,True,3.150.22.65,India,Pune,False,0,True,False,159,False,False,2.42,0,1,0,False,6,9.21,LOW
USR00029,kaitlyn89,SecurityAnalyst,Operations,2026-04-27 17:33:17,5,Wednesday,Tablet,False,90.60.25.233,Brazil,Sao Paulo,True,5,True,True,156,False,True,90.1,7,5,21,False,20,131.05,HIGH
USR00030,denniscox,Admin,Finance,2026-04-17 01:53:50,18,Monday,Linux Workstation,True,121.238.188.241,India,Mumbai,False,1,True,True,170,True,False,2.6,0,0,0,False,7,6.3,LOW
USR00031,suzanne72,Manager,Finance,2026-01-21 17:24:03,17,Wednesday,Mobile,True,46.21.0.177,India,Hyderabad,False,1,True,True,411,False,False,11.34,1,1,3,False,8,21.67,LOW
USR00032,manuelbutler,Developer,Security,2026-03-04 15:13:55,15,Monday,Mobile,True,5.44.192.239,India,Delhi,False,1,True,True,110,False,False,4.11,0,1,0,False,14,15.05,LOW
USR00033,desiree02,Admin,HR,2026-03-31 18:12:26,8,Wednesday,Linux Workstation,True,2.85.86.206,India,Mumbai,False,1,True,True,58,True,False,2.91,0,0,0,False,17,6.46,LOW
USR00034,andrew20,Developer,IT,2026-04-21 23:44:55,3,Wednesday,Windows Laptop,False,141.45.196.81,Singapore,Singapore,True,5,True,True,59,False,True,79.74,5,4,19,False,8,111.87,HIGH
USR00035,courtneymartinez,DBA,IT,2026-06-05 18:53:42,5,Tuesday,Tablet,False,10.204.91.89,Singapore,Singapore,True,6,True,True,70,True,True,68.4,6,6,30,False,4,130.2,HIGH
USR00036,karencarter,DBA,HR,2026-02-17 05:06:48,17,Thursday,Tablet,True,161.91.97.250,India,Mumbai,False,0,True,True,91,True,False,19.06,1,0,4,False,11,12.53,LOW
USR00037,jenniferanderson,DBA,Finance,2026-03-16 18:17:38,6,Saturday,Windows Laptop,False,145.140.135.193,India,Hyderabad,False,3,False,True,435,True,True,37.35,3,3,2,True,17,66.67,MEDIUM
USR00038,tyrone77,SecurityAnalyst,Finance,2026-02-19 05:11:39,18,Wednesday,Mobile,True,144.124.223.214,India,Delhi,False,1,False,True,458,False,False,10.8,1,1,3,False,14,21.4,LOW
USR00039,galvandonna,Developer,HR,2026-05-15 11:57:45,12,Friday,Linux Workstation,True,5.166.49.231,Russia,Moscow,True,1,True,True,336,False,False,59.92,4,2,5,False,3,62.96,MEDIUM
USR00040,christiankelly,Manager,Security,2026-01-18 19:05:42,13,Friday,MacBook,True,90.100.191.67,India,Hyderabad,False,1,False,True,335,False,False,21.82,1,0,2,False,8,18.91,LOW
USR00041,lesliemcintosh,SecurityAnalyst,Security,2026-05-06 03:41:33,11,Wednesday,Tablet,True,153.123.28.164,India,Delhi,False,1,True,True,310,False,False,2.22,0,1,4,False,10,14.11,LOW
USR00042,fwalton,SecurityAnalyst,HR,2026-06-12 10:11:53,12,Tuesday,MacBook,True,29.244.183.61,India,Delhi,False,1,True,True,370,False,False,15.79,0,0,0,False,14,12.89,LOW
USR00043,garzamichael,SecurityAnalyst,IT,2026-05-11 13:23:02,18,Sunday,Linux Workstation,True,168.147.80.29,India,Delhi,False,0,False,True,50,False,False,23.77,0,1,0,True,7,19.88,LOW
USR00044,montesgregory,SecurityAnalyst,IT,2026-05-22 04:29:37,12,Thursday,Linux Workstation,True,200.197.70.241,India,Bengaluru,False,0,True,True,403,False,False,1.97,0,1,5,False,5,8.98,LOW
USR00045,woodmatthew,Developer,HR,2026-05-31 09:19:14,15,Sunday,Linux Workstation,True,27.52.57.161,India,Hyderabad,False,1,True,False,179,False,False,27.52,0,1,5,True,4,26.76,LOW
USR00046,xcollins,Admin,HR,2026-02-05 17:12:22,17,Sunday,Tablet,True,82.82.225.49,India,Mumbai,True,1,False,True,140,True,False,37.2,3,2,6,True,20,48.6,MEDIUM
USR00047,haley35,Manager,Security,2026-05-01 22:10:24,5,Friday,Mobile,False,184.192.214.35,Brazil,Sao Paulo,True,9,True,True,175,False,True,89.17,10,10,27,False,7,199.59,HIGH
USR00048,ianfox,DBA,IT,2026-05-29 01:09:42,8,Saturday,Tablet,True,100.162.157.95,India,Delhi,False,1,True,True,202,True,False,17.33,1,0,3,True,20,16.66,LOW
USR00049,diane04,SecurityAnalyst,Finance,2026-03-14 20:46:52,20,Tuesday,Tablet,False,139.58.127.16,India,Bengaluru,True,3,True,True,165,False,False,50.45,4,3,9,False,17,76.22,MEDIUM
USR00050,fortiz,SecurityAnalyst,Finance,2026-04-04 06:36:45,16,Friday,Linux Workstation,True,92.127.98.164,India,Bengaluru,False,0,False,True,88,False,False,29.11,0,0,0,False,5,14.55,LOW
USR00051,tsanders,Admin,Finance,2026-03-03 05:34:29,13,Friday,MacBook,True,12.7.131.170,India,Mumbai,False,1,True,True,88,True,False,24.61,0,1,4,False,18,25.3,LOW
USR00052,james25,Manager,Finance,2026-02-24 03:23:42,1,Thursday,Windows Laptop,False,16.151.105.206,Singapore,Singapore,True,8,False,True,485,False,True,88.03,3,3,14,False,12,117.02,HIGH
USR00053,qlawrence,Manager,HR,2026-02-11 01:04:22,23,Monday,MacBook,False,44.10.54.5,Singapore,Singapore,True,8,False,True,316,False,True,94.3,10,3,29,False,12,141.15,HIGH
USR00054,murphyashley,Manager,Finance,2026-02-23 06:38:10,18,Tuesday,Windows Laptop,True,39.115.92.156,India,Pune,False,1,True,True,116,False,False,21.67,1,0,2,False,20,18.84,LOW
USR00055,fbell,Manager,Operations,2026-02-17 03:22:05,13,Wednesday,Tablet,True,53.172.233.69,India,Mumbai,False,1,True,True,71,False,False,19.73,1,1,0,False,1,25.87,LOW
USR00056,samanthaterry,Developer,Operations,2026-05-29 05:35:07,10,Tuesday,Windows Laptop,True,180.170.184.218,India,Hyderabad,True,1,False,True,57,False,True,30.3,3,1,10,False,20,37.15,MEDIUM
USR00057,amy73,DBA,Operations,2026-05-16 19:56:35,17,Tuesday,Linux Workstation,True,22.165.244.12,India,Mumbai,False,1,True,True,40,True,False,7.2,1,0,4,False,20,11.6,LOW
USR00058,thomasbean,Developer,IT,2026-01-20 02:11:40,14,Thursday,Mobile,True,39.49.132.91,India,Mumbai,False,1,False,True,326,False,False,15.25,0,0,2,False,2,12.62,LOW
USR00059,conniechavez,DBA,Finance,2026-02-01 23:38:01,12,Saturday,Mobile,True,168.131.60.126,India,Pune,False,0,False,True,302,True,False,5.86,1,0,3,True,18,5.93,LOW
USR00060,brownemily,Manager,Operations,2026-05-24 17:29:37,12,Wednesday,MacBook,True,24.83.56.198,India,Bengaluru,False,1,True,True,65,False,False,18.68,0,0,4,False,15,14.34,LOW
USR00061,josephlawrence,Developer,Finance,2026-03-12 07:02:28,16,Sunday,MacBook,True,46.58.45.204,India,Bengaluru,False,1,True,True,422,False,False,22.94,0,0,1,True,8,16.47,LOW
USR00062,rachel01,DBA,Security,2026-01-06 11:41:33,15,Tuesday,Linux Workstation,True,109.252.56.131,India,Hyderabad,False,1,True,True,83,True,False,21.41,1,1,3,False,10,26.7,LOW
USR00063,joshua30,Manager,Operations,2026-01-24 05:01:54,7,Tuesday,Linux Workstation,True,148.169.39.198,Singapore,Singapore,False,2,True,True,472,False,True,30.39,3,2,8,False,18,50.2,MEDIUM
USR00064,alexanderalicia,SecurityAnalyst,Finance,2026-03-11 15:23:07,18,Saturday,Tablet,True,47.170.109.208,India,Mumbai,False,0,True,True,434,False,False,7.27,0,1,4,True,4,11.63,LOW
USR00065,katherinekerr,SecurityAnalyst,Operations,2026-02-04 00:00:10,16,Sunday,Mobile,True,67.38.198.3,India,Pune,False,0,False,True,357,False,False,17.16,0,1,4,True,8,16.58,LOW
USR00066,daniellee,Developer,IT,2026-04-06 03:44:49,19,Tuesday,Mobile,True,210.7.66.179,Germany,Berlin,False,4,False,False,348,False,False,31.68,1,0,3,False,11,38.84,MEDIUM
USR00067,fullercrystal,Admin,HR,2026-03-22 07:33:35,9,Friday,Mobile,True,204.5.204.159,India,Mumbai,False,0,False,True,271,True,False,7.36,0,1,0,False,11,11.68,LOW
USR00068,abigaillutz,Developer,HR,2026-06-14 19:13:07,10,Sunday,Mobile,True,152.76.185.21,India,Delhi,False,1,False,False,204,False,False,4.14,0,0,4,True,1,7.07,LOW
USR00069,frazieramy,SecurityAnalyst,Security,2026-05-18 02:33:45,11,Wednesday,MacBook,True,167.23.95.116,India,Bengaluru,False,0,True,True,136,False,False,25.82,0,1,2,False,12,20.91,LOW
USR00070,kellyortega,DBA,HR,2026-01-04 15:04:23,16,Thursday,MacBook,True,30.28.84.98,Brazil,Sao Paulo,False,4,False,True,46,True,False,31.36,1,2,3,False,19,54.68,MEDIUM
USR00071,haynesleslie,DBA,Security,2026-05-16 19:48:08,22,Tuesday,Tablet,False,82.3.227.4,Netherlands,Amsterdam,True,5,False,False,236,True,True,71.77,10,7,14,False,6,146.88,HIGH
USR00072,gregory09,Manager,Security,2026-01-09 02:47:22,14,Tuesday,Mobile,True,136.189.201.84,India,Pune,False,0,False,False,449,False,False,8.82,0,0,2,False,5,4.41,LOW
USR00073,hermangina,Manager,Security,2026-05-08 20:41:41,9,Friday,MacBook,True,128.29.24.43,India,Mumbai,False,0,False,False,334,False,False,26.35,1,0,4,False,16,16.18,LOW
USR00074,freed,DBA,Security,2026-04-28 10:38:34,17,Saturday,MacBook,True,155.151.247.197,India,Pune,False,0,False,True,94,True,False,9.39,1,1,4,True,8,15.7,LOW
USR00075,jordaneric,SecurityAnalyst,Security,2026-04-17 13:41:36,15,Wednesday,Tablet,False,206.168.226.17,Russia,Moscow,True,4,True,True,280,False,False,41.68,5,1,8,False,6,63.84,MEDIUM
USR00076,robinsonpeter,Manager,Finance,2026-05-23 10:12:39,13,Sunday,Mobile,True,45.106.171.142,India,Mumbai,False,0,True,False,235,False,False,7.52,0,1,3,True,8,11.76,LOW
USR00077,hadkins,Developer,Security,2026-03-20 20:01:22,14,Monday,Tablet,True,1.78.193.118,India,Pune,False,0,False,True,491,False,False,29.33,1,0,3,False,15,17.66,LOW
USR00078,john68,Developer,Finance,2026-03-20 18:30:46,11,Thursday,Tablet,True,62.93.29.119,India,Hyderabad,False,0,False,True,360,False,False,5.0,1,0,3,False,19,5.5,LOW
USR00079,brittany06,Manager,HR,2026-03-05 09:56:11,9,Tuesday,Linux Workstation,True,203.80.152.234,India,Delhi,False,0,False,True,11,False,False,20.06,1,1,3,False,6,21.03,LOW
USR00080,alexanderlucas,Admin,Finance,2026-04-22 21:54:06,12,Monday,MacBook,False,91.26.206.230,Brazil,Sao Paulo,True,1,False,True,166,True,False,52.77,5,0,7,False,2,46.39,MEDIUM
USR00081,gsharp,Developer,Security,2026-05-21 00:40:30,15,Tuesday,Mobile,True,136.167.212.195,India,Delhi,False,0,False,True,382,False,False,3.82,0,0,3,False,13,1.91,LOW
USR00082,kevinhess,Developer,IT,2026-01-19 13:29:43,7,Wednesday,Tablet,False,15.0.106.205,India,Pune,False,1,True,False,491,False,True,36.86,3,3,3,False,20,56.43,MEDIUM
USR00083,townsendshannon,Manager,Security,2026-04-10 08:18:17,14,Friday,Linux Workstation,True,208.63.197.252,India,Delhi,False,1,False,True,385,False,False,5.45,0,1,0,False,1,15.72,LOW
USR00084,kristy71,SecurityAnalyst,HR,2026-03-20 06:54:16,16,Friday,Windows Laptop,True,21.124.159.173,India,Pune,False,0,True,True,156,False,False,3.81,1,0,3,False,19,4.91,LOW
USR00085,lancecastillo,SecurityAnalyst,Security,2026-03-11 02:42:56,10,Thursday,Windows Laptop,True,138.63.126.163,India,Hyderabad,False,1,False,False,260,False,False,27.31,0,0,5,False,20,18.66,LOW
USR00086,jared42,DBA,HR,2026-04-06 18:26:41,16,Saturday,MacBook,True,115.101.25.126,India,Delhi,False,0,True,False,303,True,False,28.64,0,0,5,True,3,14.32,LOW
USR00087,matthewbryan,Developer,Security,2026-03-03 20:54:11,11,Tuesday,Mobile,True,87.68.6.150,India,Pune,False,0,True,True,421,False,False,28.75,1,1,4,False,12,25.38,LOW
USR00088,wjohnson,Manager,Security,2026-01-24 08:48:52,11,Saturday,MacBook,True,75.177.68.95,India,Mumbai,False,1,True,True,70,False,False,14.21,0,0,3,True,3,12.11,LOW
USR00089,wtrevino,Manager,Finance,2026-03-11 21:59:50,13,Saturday,MacBook,True,189.114.0.145,India,Delhi,False,0,True,True,33,False,False,6.15,1,0,3,True,1,6.08,LOW
USR00090,pyoder,Developer,Security,2026-03-24 06:03:22,14,Saturday,Mobile,True,137.9.28.167,India,Hyderabad,False,0,True,True,40,False,False,10.73,1,0,0,True,7,8.37,LOW
USR00091,camerondavid,Developer,HR,2026-01-16 08:19:31,15,Monday,Windows Laptop,False,179.61.185.97,India,Bengaluru,True,4,False,False,73,False,False,55.33,1,2,2,False,4,66.66,MEDIUM
USR00092,castillocynthia,SecurityAnalyst,HR,2026-03-17 08:59:13,7,Saturday,Mobile,True,33.61.121.92,Singapore,Singapore,True,4,False,False,127,False,True,36.12,2,2,8,True,6,60.06,MEDIUM
USR00093,ymoore,SecurityAnalyst,Security,2026-02-14 20:21:30,12,Thursday,Tablet,True,221.227.35.95,India,Pune,False,0,True,False,142,False,False,21.82,1,0,3,False,15,13.91,LOW
USR00094,amanda63,DBA,Finance,2026-05-17 03:34:25,16,Sunday,Tablet,True,201.147.246.73,India,Bengaluru,False,0,True,False,47,True,False,1.43,1,0,0,True,19,3.71,LOW
USR00095,garciajuan,Manager,Security,2026-02-02 02:17:33,13,Wednesday,MacBook,False,172.63.66.122,India,Pune,True,3,True,True,338,False,True,40.1,1,0,5,False,12,38.05,MEDIUM
USR00096,nicholskaren,SecurityAnalyst,HR,2026-02-12 15:35:24,15,Friday,MacBook,True,151.57.70.0,India,Mumbai,False,4,False,False,250,False,False,31.98,1,3,3,False,18,62.99,MEDIUM
USR00097,hunteric,Admin,Finance,2026-03-22 06:51:51,17,Wednesday,Mobile,True,141.17.12.35,India,Pune,False,0,False,True,111,True,False,9.66,0,0,5,False,8,4.83,LOW
USR00098,lguerrero,DBA,Security,2026-01-06 06:31:33,13,Tuesday,Windows Laptop,True,64.78.227.54,India,Bengaluru,False,0,False,False,32,True,False,9.59,0,0,3,False,12,4.79,LOW
USR00099,kimberly22,Admin,Operations,2026-03-18 10:54:55,0,Saturday,Windows Laptop,False,220.232.60.193,Germany,Berlin,True,6,False,True,425,True,True,68.84,3,10,26,True,7,153.42,HIGH
USR00100,heather27,Admin,Operations,2026-02-28 08:20:38,12,Tuesday,Windows Laptop,True,188.84.190.251,India,Mumbai,False,0,False,True,258,True,False,5.62,0,1,0,False,5,10.81,LOW
USR00101,sabrina94,DBA,Security,2026-01-13 10:06:10,14,Thursday,Tablet,True,218.198.87.61,India,Mumbai,False,1,False,True,157,True,False,23.95,0,0,5,False,14,16.98,LOW
USR00102,erica29,DBA,HR,2026-02-20 12:29:12,18,Tuesday,Mobile,True,2.182.43.249,India,Bengaluru,False,0,False,True,281,True,False,3.94,0,1,1,False,18,9.97,LOW
USR00103,steven27,SecurityAnalyst,Security,2026-02-27 17:49:13,12,Friday,Mobile,True,126.238.167.6,India,Pune,False,0,True,True,500,False,False,29.54,1,1,2,False,3,25.77,LOW
USR00104,briantyler,Manager,IT,2026-02-01 15:39:59,9,Thursday,Tablet,True,208.21.198.28,India,Pune,False,1,False,False,184,False,False,22.84,0,1,2,False,15,24.42,LOW
USR00105,mitchell35,Developer,Operations,2026-03-10 16:38:28,16,Wednesday,Mobile,True,142.162.168.176,India,Mumbai,False,1,True,False,332,False,False,14.08,1,1,3,False,6,23.04,LOW
USR00106,swilkins,Developer,Finance,2026-05-21 23:21:17,23,Friday,Mobile,False,162.33.174.153,Germany,Berlin,True,7,True,True,362,False,True,83.33,4,4,16,False,13,120.66,HIGH
USR00107,ocarlson,Admin,Operations,2026-04-23 14:19:51,18,Friday,Linux Workstation,True,103.94.244.14,India,Mumbai,False,0,False,False,390,True,False,18.21,1,1,4,False,4,20.11,LOW
USR00108,jenniferpearson,Admin,HR,2026-03-28 12:34:55,16,Sunday,Windows Laptop,True,157.56.181.225,India,Mumbai,False,0,True,True,22,True,False,14.83,0,1,2,True,17,15.41,LOW
USR00109,bonniewillis,DBA,HR,2026-04-17 02:02:35,15,Tuesday,Windows Laptop,True,109.118.178.59,India,Bengaluru,False,1,False,True,102,True,False,0.6,1,1,3,False,7,16.3,LOW
USR00110,michael34,SecurityAnalyst,IT,2026-03-01 20:33:24,8,Sunday,Windows Laptop,True,48.97.125.105,India,Pune,False,1,False,True,369,False,False,15.57,1,0,2,True,12,15.79,LOW
USR00111,stevenhill,Manager,Finance,2026-04-12 05:41:56,22,Thursday,Mobile,False,89.201.44.85,Netherlands,Amsterdam,True,7,False,False,467,False,True,68.22,10,7,15,False,16,155.11,HIGH
USR00112,laura65,Admin,Security,2026-02-27 22:01:54,11,Monday,Tablet,True,144.44.176.170,India,Delhi,False,1,True,True,471,True,False,1.21,0,1,5,False,20,13.61,LOW
USR00113,preed,Developer,IT,2026-04-18 14:00:17,13,Friday,Linux Workstation,False,192.66.39.61,Russia,Moscow,False,2,True,True,408,False,True,48.46,1,3,8,False,7,61.23,MEDIUM
USR00114,blairchristina,Developer,Operations,2026-06-10 20:33:41,12,Thursday,MacBook,True,112.153.141.145,India,Delhi,False,0,True,True,210,False,False,11.61,1,0,2,False,3,8.8,LOW
USR00115,nicholeconway,Admin,Operations,2026-01-10 18:45:59,12,Monday,Windows Laptop,True,17.62.255.125,India,Pune,False,1,True,True,158,True,False,25.08,1,0,3,False,16,20.54,LOW
USR00116,vsanders,SecurityAnalyst,Security,2026-02-15 23:26:50,11,Thursday,Windows Laptop,True,222.149.223.90,India,Delhi,False,0,False,False,256,False,False,25.97,1,1,1,False,20,23.98,LOW
USR00117,edwardsdiana,DBA,Finance,2026-04-04 11:38:33,14,Tuesday,Mobile,False,186.191.63.40,India,Hyderabad,False,3,True,True,75,True,False,56.63,4,1,6,False,17,63.31,MEDIUM
USR00118,rhonda00,Developer,Security,2026-03-17 18:06:26,12,Wednesday,Windows Laptop,True,105.22.161.99,India,Delhi,False,1,True,True,42,False,False,29.29,0,1,0,False,18,27.64,LOW
USR00119,crojas,DBA,Operations,2026-03-01 10:46:55,11,Friday,Linux Workstation,True,101.88.239.69,India,Mumbai,False,0,False,True,380,True,False,1.95,0,0,4,False,7,0.97,LOW
USR00120,mbell,Developer,Finance,2026-04-22 07:46:36,10,Wednesday,Windows Laptop,True,22.163.186.198,India,Pune,False,0,True,True,122,False,False,13.93,0,1,1,False,8,14.96,LOW
USR00121,melissahernandez,SecurityAnalyst,Operations,2026-02-19 08:13:11,9,Monday,Tablet,True,81.228.185.207,India,Hyderabad,False,0,False,True,271,False,False,16.37,1,1,4,False,6,19.19,LOW
USR00122,jeffrey13,SecurityAnalyst,HR,2026-05-25 21:38:01,15,Monday,Linux Workstation,True,176.229.153.36,India,Bengaluru,False,0,True,True,260,False,False,8.38,0,1,2,False,10,12.19,LOW
USR00123,karen89,Developer,Security,2026-04-04 04:40:45,9,Tuesday,Tablet,True,39.141.176.85,India,Pune,False,0,True,True,178,False,False,8.2,1,1,2,False,5,15.1,LOW
USR00124,zmoreno,SecurityAnalyst,IT,2026-03-30 06:47:32,12,Wednesday,Tablet,True,36.30.58.217,India,Bengaluru,False,0,False,True,204,False,False,26.06,0,1,2,False,2,21.03,LOW
USR00125,zballard,Admin,Security,2026-04-27 18:17:26,15,Monday,Tablet,False,67.233.10.15,India,Hyderabad,True,2,False,True,156,True,True,38.59,3,1,4,False,19,46.3,MEDIUM
USR00126,melissamiller,DBA,HR,2026-01-21 01:12:02,16,Wednesday,MacBook,True,80.33.93.252,India,Bengaluru,False,0,False,True,84,True,False,16.88,1,1,0,False,15,19.44,LOW
USR00127,christopher27,Manager,IT,2026-03-16 19:21:06,16,Thursday,Windows Laptop,True,151.176.20.147,India,Delhi,False,1,True,True,19,False,False,16.46,1,0,3,False,12,16.23,LOW
USR00128,josegibson,Manager,HR,2026-01-26 01:21:04,10,Thursday,Mobile,True,103.240.6.253,India,Delhi,False,0,True,False,118,False,False,18.72,1,1,4,False,9,20.36,LOW
USR00129,skennedy,Admin,IT,2026-05-03 05:20:21,18,Friday,Linux Workstation,True,118.241.13.56,India,Mumbai,False,0,False,True,437,True,False,29.82,1,0,5,False,9,17.91,LOW
USR00130,leslie41,Manager,HR,2026-04-24 03:07:26,12,Friday,Mobile,True,135.30.201.222,India,Hyderabad,False,1,True,False,133,False,False,16.88,0,0,1,False,5,13.44,LOW
USR00131,williamsnatasha,SecurityAnalyst,Operations,2026-05-12 02:59:23,12,Monday,Tablet,True,123.181.136.70,India,Pune,False,0,False,True,56,False,False,20.7,0,0,2,False,13,10.35,LOW
USR00132,april96,DBA,Security,2026-04-15 09:38:17,16,Tuesday,Tablet,True,137.189.47.165,India,Pune,False,1,True,True,113,True,False,4.27,0,0,5,False,5,7.13,LOW
USR00133,carmen76,DBA,Security,2026-04-03 00:02:51,13,Sunday,Mobile,False,59.96.114.100,India,Pune,False,3,True,True,53,True,True,45.1,3,1,4,True,4,54.55,MEDIUM
USR00134,jeffrey56,SecurityAnalyst,Finance,2026-01-16 08:49:30,18,Sunday,Tablet,True,210.179.27.244,India,Bengaluru,False,1,False,True,421,False,False,13.04,0,1,0,True,17,19.52,LOW
