query_id,user_id,role,department,database_name,table_name,query_type,query_text,rows_accessed,execution_time_ms,timestamp,hour,day_of_week,weekend_access,source_ip,country,device_type,sensitive_table,download_size_mb,failed_query_attempts,query_frequency_last_hour,database_sensitivity,privileged_user,behavior_anomaly_score,risk_label
QRY000031,USR00943,Admin,Security,HRDB,bank_accounts,DELETE,DELETE FROM bank_accounts,682854,9618,2026-03-20 04:15:35,2,Monday,False,19.119.218.179,Germany,Tablet,True,643.32,9,85,HIGH,True,332.12,HIGH
QRY000032,USR00938,DBA,Finance,CustomerDB,attendance,SELECT,SELECT * FROM attendance,637,378,2026-06-03 09:55:58,10,Monday,False,164.187.85.252,India,Mobile,False,3.85,1,1,MEDIUM,True,9.95,LOW
QRY000033,USR01126,Developer,IT,CustomerDB,products,UPDATE,UPDATE products SET status='active',965,299,2026-03-24 17:54:36,19,Thursday,False,39.184.229.87,India,Tablet,False,1.93,1,6,LOW,False,17.29,LOW
QRY000034,USR00930,Developer,Finance,HRDB,tickets,INSERT,INSERT INTO tickets VALUES (...),720,210,2026-05-21 20:24:26,5,Tuesday,False,58.43.112.147,India,Tablet,False,4.3,0,1,CRITICAL,False,2.0,LOW
QRY000035,USR00459,Manager,Operations,CustomerDB,tickets,SELECT,SELECT * FROM tickets,339,429,2026-03-30 12:32:51,16,Wednesday,False,72.206.89.163,India,Mobile,False,6.75,1,2,MEDIUM,False,11.71,LOW
QRY000036,USR00989,Manager,Security,AuditDB,products,UPDATE,UPDATE products SET status='active',7593,948,2026-05-05 13:17:22,2,Saturday,True,173.130.206.0,Brazil,Tablet,False,97.18,2,18,MEDIUM,False,53.48,MEDIUM
QRY000037,USR00049,DBA,IT,HRDB,inventory,SELECT,SELECT * FROM inventory,445,30,2026-05-25 01:44:49,2,Monday,False,219.9.47.10,India,Tablet,False,4.81,0,1,CRITICAL,True,2.03,LOW
QRY000038,USR01082,Developer,Security,FinanceDB,logs,INSERT,INSERT INTO logs VALUES (...),452,412,2026-05-02 10:07:18,3,Tuesday,False,19.47.2.39,India,MacBook,False,0.46,0,8,HIGH,False,12.09,LOW
QRY000039,USR00975,SecurityAnalyst,Finance,AuditDB,tickets,UPDATE,UPDATE tickets SET status='active',810,270,2026-02-12 08:20:14,4,Wednesday,False,51.49.34.253,India,Tablet,False,5.91,0,1,LOW,False,2.17,LOW
QRY000040,USR00199,SecurityAnalyst,IT,AuditDB,attendance,UPDATE,UPDATE attendance SET status='active',940,318,2026-03-28 03:02:43,17,Thursday,False,179.16.206.10,India,Linux Workstation,False,7.29,0,2,CRITICAL,False,3.82,LOW
QRY000041,USR01029,DBA,IT,CustomerDB,tickets,INSERT,INSERT INTO tickets VALUES (...),765,350,2026-05-24 02:46:36,13,Wednesday,False,99.55.12.118,India,Tablet,False,7.63,1,1,LOW,True,10.34,LOW
QRY000042,USR00955,DBA,Finance,PayrollDB,attendance,UPDATE,UPDATE attendance SET status='active',204,73,2026-06-03 02:48:22,1,Saturday,True,46.250.158.140,India,Linux Workstation,False,4.49,0,1,HIGH,True,1.97,LOW
QRY000043,USR00729,Admin,Security,FinanceDB,tickets,SELECT,SELECT * FROM tickets,386,80,2026-01-28 16:12:59,6,Monday,False,136.54.181.176,India,Mobile,False,7.76,1,8,LOW,True,20.81,LOW
QRY000044,USR00323,Admin,Operations,FinanceDB,bank_accounts,SELECT,SELECT * FROM bank_accounts,776387,11373,2026-01-22 13:38:31,2,Thursday,False,165.154.28.165,Brazil,Tablet,True,218.79,8,37,HIGH,True,219.02,HIGH
QRY000045,USR00536,Developer,Operations,HRDB,products,SELECT,SELECT * FROM products,658,409,2026-04-09 00:14:16,1,Saturday,True,59.63.126.235,India,Windows Laptop,False,6.02,1,4,CRITICAL,False,14.67,LOW
QRY000046,USR00086,Admin,IT,AuditDB,attendance,UPDATE,UPDATE attendance SET status='active',356,204,2026-06-09 23:41:12,19,Sunday,True,196.156.216.175,India,Linux Workstation,False,7.43,0,8,HIGH,True,12.78,LOW
QRY000047,USR00907,Admin,Operations,PayrollDB,tickets,UPDATE,UPDATE tickets SET status='active',752,469,2026-04-18 04:17:38,1,Tuesday,False,145.229.73.195,India,Windows Laptop,False,6.93,0,4,CRITICAL,True,6.77,LOW
QRY000048,USR00787,SecurityAnalyst,Security,AuditDB,tickets,INSERT,INSERT INTO tickets VALUES (...),702,96,2026-01-14 23:37:56,5,Monday,False,75.53.111.155,India,Tablet,False,2.49,1,4,LOW,False,14.32,LOW
QRY000049,USR00056,DBA,HR,FinanceDB,inventory,UPDATE,UPDATE inventory SET status='active',37523,1026,2026-01-28 23:10:34,11,Friday,False,38.245.122.40,Germany,MacBook,False,50.58,2,15,HIGH,True,47.31,MEDIUM
QRY000050,USR00475,SecurityAnalyst,Operations,CustomerDB,inventory,INSERT,INSERT INTO inventory VALUES (...),458,220,2026-06-01 23:13:59,12,Tuesday,False,93.240.117.173,India,MacBook,False,1.05,0,1,CRITICAL,False,1.65,LOW
QRY000051,USR00014,Manager,Operations,AuditDB,logs,UPDATE,UPDATE logs SET status='active',405,16,2026-04-29 05:28:14,9,Friday,False,147.111.192.86,India,Windows Laptop,False,9.07,1,9,MEDIUM,False,22.45,LOW
QRY000052,USR00115,DBA,IT,HRDB,products,UPDATE,UPDATE products SET status='active',1469,2960,2026-01-06 11:58:31,12,Thursday,False,48.53.134.129,Germany,Windows Laptop,False,35.83,3,29,LOW,True,71.23,MEDIUM
QRY000053,USR00889,SecurityAnalyst,HR,AuditDB,logs,UPDATE,UPDATE logs SET status='active',13,134,2026-04-19 07:59:27,4,Thursday,False,92.100.133.227,India,Mobile,False,8.29,0,9,CRITICAL,False,14.33,LOW
QRY000054,USR00775,SecurityAnalyst,Operations,AuditDB,products,UPDATE,UPDATE products SET status='active',257,336,2026-05-29 19:45:57,17,Thursday,False,85.24.199.18,India,Linux Workstation,False,3.36,0,8,LOW,False,12.36,LOW
QRY000055,USR00847,SecurityAnalyst,HR,CustomerDB,products,SELECT,SELECT * FROM products,26296,1053,2026-01-10 01:42:08,18,Wednesday,False,163.5.160.212,Germany,Linux Workstation,False,73.35,2,26,MEDIUM,False,64.96,MEDIUM
QRY000056,USR00742,DBA,Security,AuditDB,inventory,SELECT,SELECT * FROM inventory,667,319,2026-02-11 15:49:06,22,Tuesday,False,113.130.23.254,India,Linux Workstation,False,7.8,1,4,HIGH,True,14.85,LOW
QRY000057,USR00776,Manager,Finance,FinanceDB,products,SELECT,SELECT * FROM products,567,304,2026-03-08 09:38:03,16,Monday,False,195.129.108.143,India,Tablet,False,0.03,1,7,HIGH,False,18.56,LOW
QRY000058,USR01107,Developer,HR,PayrollDB,inventory,UPDATE,UPDATE inventory SET status='active',245,56,2026-01-29 10:43:23,20,Sunday,True,110.138.65.189,India,Linux Workstation,False,0.1,0,4,CRITICAL,False,6.03,LOW
QRY000059,USR00252,Manager,HR,FinanceDB,inventory,UPDATE,UPDATE inventory SET status='active',724,64,2026-05-28 01:45:28,5,Sunday,True,151.161.63.208,India,Tablet,False,1.18,0,4,HIGH,False,6.19,LOW
QRY000060,USR00165,Admin,Finance,PayrollDB,inventory,UPDATE,UPDATE inventory SET status='active',3073,1362,2026-03-23 00:00:40,1,Monday,False,195.169.93.95,Germany,Tablet,False,67.18,2,23,LOW,True,57.53,MEDIUM
QRY000061,USR00870,SecurityAnalyst,Security,FinanceDB,logs,SELECT,SELECT * FROM logs,476,225,2026-05-16 21:57:17,4,Friday,False,126.96.242.190,India,Windows Laptop,False,5.55,0,4,MEDIUM,False,6.6,LOW
QRY000062,USR00928,DBA,Security,PayrollDB,products,SELECT,SELECT * FROM products,150,242,2026-05-02 04:09:27,0,Saturday,True,25.109.203.223,India,Mobile,False,8.01,1,6,HIGH,True,17.82,LOW
QRY000063,USR01048,Manager,IT,FinanceDB,logs,UPDATE,UPDATE logs SET status='active',958,110,2026-03-19 19:37:10,18,Tuesday,False,53.158.72.158,India,Mobile,False,1.39,1,1,HIGH,False,9.73,LOW
QRY000064,USR01120,SecurityAnalyst,Security,AuditDB,logs,INSERT,INSERT INTO logs VALUES (...),313,126,2026-06-18 13:36:59,3,Thursday,False,188.51.163.151,India,MacBook,False,0.76,1,7,HIGH,False,18.61,LOW
QRY000065,USR00633,DBA,Security,AuditDB,attendance,SELECT,SELECT * FROM attendance,570,99,2026-04-03 18:34:08,5,Tuesday,False,185.8.101.206,India,Windows Laptop,False,1.6,0,3,LOW,True,4.72,LOW
QRY000066,USR00031,Developer,HR,PayrollDB,inventory,INSERT,INSERT INTO inventory VALUES (...),961,122,2026-03-06 22:27:41,8,Wednesday,False,128.189.61.160,India,Tablet,False,0.48,0,7,CRITICAL,False,10.64,LOW
QRY000067,USR01141,Manager,IT,CustomerDB,inventory,SELECT,SELECT * FROM inventory,21,103,2026-05-07 05:54:41,19,Thursday,False,194.71.14.71,India,Windows Laptop,False,8.43,1,3,CRITICAL,False,13.35,LOW
QRY000068,USR00331,Developer,Security,AuditDB,inventory,UPDATE,UPDATE inventory SET status='active',503,389,2026-01-22 05:34:00,6,Saturday,True,53.255.123.236,India,Linux Workstation,False,2.95,0,8,CRITICAL,False,12.35,LOW
QRY000069,USR00160,DBA,IT,HRDB,inventory,UPDATE,UPDATE inventory SET status='active',586,224,2026-01-18 14:08:26,7,Friday,False,120.123.14.116,India,MacBook,False,2.27,1,7,LOW,True,18.79,LOW
QRY000070,USR00528,DBA,HR,HRDB,attendance,UPDATE,UPDATE attendance SET status='active',782,447,2026-05-31 22:44:13,0,Saturday,True,178.174.40.135,India,Tablet,False,9.92,0,4,LOW,True,7.07,LOW
QRY000071,USR00917,SecurityAnalyst,Security,PayrollDB,tickets,SELECT,SELECT * FROM tickets,75,253,2026-02-28 13:44:31,21,Thursday,False,67.203.172.147,India,Tablet,False,5.78,0,4,LOW,False,6.59,LOW
QRY000072,USR00857,Admin,Operations,AuditDB,logs,UPDATE,UPDATE logs SET status='active',939,206,2026-03-05 07:16:57,17,Wednesday,False,135.207.178.30,India,Linux Workstation,False,9.32,1,6,MEDIUM,True,18.03,LOW
QRY000073,USR00477,SecurityAnalyst,IT,PayrollDB,attendance,UPDATE,UPDATE attendance SET status='active',773,214,2026-05-05 02:39:11,17,Monday,False,161.104.85.162,India,Windows Laptop,False,6.24,0,7,LOW,False,11.2,LOW
QRY000074,USR00321,Admin,Security,AuditDB,logs,UPDATE,UPDATE logs SET status='active',35303,2570,2026-04-07 20:53:01,15,Thursday,False,41.46.145.184,India,Linux Workstation,False,96.38,2,13,MEDIUM,True,48.67,MEDIUM
QRY000075,USR01031,Admin,Security,PayrollDB,products,UPDATE,UPDATE products SET status='active',599,360,2026-05-18 20:50:02,20,Sunday,True,173.119.113.211,India,Mobile,False,6.59,0,4,CRITICAL,True,6.72,LOW
QRY000076,USR00923,SecurityAnalyst,HR,HRDB,salary,DELETE,DELETE FROM salary,185692,14350,2026-03-11 03:27:06,15,Thursday,False,86.238.124.166,Russia,Linux Workstation,True,922.09,3,69,CRITICAL,False,238.28,HIGH
QRY000077,USR00021,Developer,Operations,FinanceDB,inventory,INSERT,INSERT INTO inventory VALUES (...),520,61,2026-02-21 16:52:20,16,Saturday,True,136.36.249.116,India,MacBook,False,2.77,1,7,HIGH,False,18.83,LOW
QRY000078,USR01014,SecurityAnalyst,Operations,CustomerDB,logs,SELECT,SELECT * FROM logs,797,227,2026-01-25 18:07:09,15,Saturday,True,122.119.179.220,India,Windows Laptop,False,0.89,1,4,HIGH,False,14.17,LOW
QRY000079,USR01048,Manager,HR,PayrollDB,inventory,UPDATE,UPDATE inventory SET status='active',24024,2598,2026-01-05 08:00:19,8,Tuesday,False,175.143.205.53,India,MacBook,False,76.77,2,30,LOW,False,71.08,MEDIUM
QRY000080,USR00242,Manager,HR,HRDB,customers,SELECT,SELECT * FROM customers,805407,5190,2026-05-23 08:20:23,17,Friday,False,110.51.54.59,Germany,Mobile,True,484.28,9,42,CRITICAL,False,263.97,HIGH
QRY000081,USR00572,Admin,Finance,FinanceDB,customers,DELETE,DELETE FROM customers,695376,11223,2026-02-06 18:12:26,0,Friday,False,65.207.192.155,Brazil,MacBook,True,716.35,5,75,CRITICAL,True,293.67,HIGH
QRY000082,USR00404,Manager,Operations,FinanceDB,logs,INSERT,INSERT INTO logs VALUES (...),417,67,2026-05-12 00:32:20,5,Monday,False,101.11.233.245,India,Linux Workstation,False,7.01,1,2,CRITICAL,False,11.74,LOW
QRY000083,USR00960,DBA,Finance,AuditDB,employees,SELECT,SELECT * FROM employees,16106,1280,2026-02-07 17:17:42,7,Wednesday,False,223.109.52.92,India,Mobile,True,42.59,2,23,MEDIUM,True,56.37,MEDIUM
QRY000084,USR00102,DBA,Finance,PayrollDB,logs,UPDATE,UPDATE logs SET status='active',555,297,2026-06-08 14:43:50,9,Monday,False,99.153.197.164,India,Windows Laptop,False,5.83,1,1,HIGH,True,10.14,LOW
QRY000085,USR00348,Developer,Security,FinanceDB,attendance,UPDATE,UPDATE attendance SET status='active',692,281,2026-05-25 00:28:42,22,Wednesday,False,204.172.29.42,India,Mobile,False,7.24,0,2,CRITICAL,False,3.79,LOW
QRY000086,USR00971,SecurityAnalyst,IT,PayrollDB,products,SELECT,SELECT * FROM products,776,36,2026-05-03 04:29:33,23,Thursday,False,210.74.109.195,India,MacBook,False,5.7,1,1,LOW,False,10.15,LOW
QRY000087,USR00667,DBA,HR,FinanceDB,bank_accounts,SELECT,SELECT * FROM bank_accounts,6679,1253,2026-05-08 02:20:47,13,Sunday,True,209.4.208.64,Germany,Mobile,True,69.56,3,18,HIGH,True,58.62,MEDIUM
QRY000088,USR00512,Manager,IT,PayrollDB,inventory,SELECT,SELECT * FROM inventory,879,318,2026-04-18 08:12:18,8,Saturday,True,167.69.187.0,India,Mobile,False,9.11,0,2,LOW,False,4.0,LOW
QRY000089,USR00301,Manager,HR,AuditDB,attendance,INSERT,INSERT INTO attendance VALUES (...),502,84,2026-02-13 02:35:22,13,Thursday,False,128.226.89.122,India,MacBook,False,0.59,1,5,CRITICAL,False,15.61,LOW
QRY000090,USR00854,DBA,IT,PayrollDB,products,SELECT,SELECT * FROM products,767,137,2026-01-23 08:15:58,17,Saturday,True,70.106.233.143,India,Linux Workstation,False,8.06,1,7,LOW,True,19.38,LOW
QRY000091,USR00580,DBA,Security,AuditDB,bank_accounts,SELECT,SELECT * FROM bank_accounts,618891,14963,2026-05-12 07:47:54,5,Wednesday,False,143.72.29.0,Russia,Tablet,True,688.64,6,38,LOW,True,235.75,HIGH
QRY000092,USR00366,Manager,Operations,PayrollDB,logs,SELECT,SELECT * FROM logs,713,354,2026-04-19 10:12:41,1,Tuesday,False,90.242.133.153,India,Windows Laptop,False,2.66,1,6,LOW,False,17.34,LOW
QRY000093,USR00506,Admin,HR,PayrollDB,credit_cards,SELECT,SELECT * FROM credit_cards,11655,2159,2026-03-22 06:16:35,10,Monday,False,83.71.5.173,Brazil,MacBook,True,23.08,2,13,MEDIUM,True,38.97,MEDIUM
QRY000094,USR01190,Admin,Security,HRDB,attendance,INSERT,INSERT INTO attendance VALUES (...),114,457,2026-04-23 20:27:02,23,Friday,False,192.168.252.171,India,MacBook,False,5.24,1,3,CRITICAL,True,13.04,LOW
QRY000095,USR00526,Admin,Finance,AuditDB,logs,SELECT,SELECT * FROM logs,751,77,2026-05-13 14:16:00,10,Wednesday,False,215.23.234.200,India,Windows Laptop,False,2.84,0,3,CRITICAL,True,4.86,LOW
QRY000096,USR01068,Developer,IT,HRDB,tickets,SELECT,SELECT * FROM tickets,251,460,2026-01-18 13:24:02,0,Friday,False,120.191.129.245,India,Mobile,False,0.85,1,5,CRITICAL,False,15.61,LOW
QRY000097,USR01125,Developer,HR,CustomerDB,products,INSERT,INSERT INTO products VALUES (...),424,345,2026-06-04 01:30:46,8,Friday,False,60.245.173.175,India,Tablet,False,3.63,1,1,MEDIUM,False,9.91,LOW
QRY000098,USR00144,Developer,Security,CustomerDB,tickets,SELECT,SELECT * FROM tickets,951,167,2026-02-18 02:36:34,22,Thursday,False,76.28.210.0,India,Windows Laptop,False,2.95,1,6,MEDIUM,False,17.39,LOW
QRY000099,USR00146,DBA,IT,FinanceDB,attendance,UPDATE,UPDATE attendance SET status='active',907,281,2026-06-11 07:18:07,19,Monday,False,145.106.90.115,India,Linux Workstation,False,6.92,0,3,MEDIUM,True,5.28,LOW
QRY000100,USR00092,SecurityAnalyst,IT,AuditDB,attendance,UPDATE,UPDATE attendance SET status='active',846,197,2026-01-17 22:58:18,11,Wednesday,False,47.109.198.231,India,Mobile,False,6.95,1,5,LOW,False,16.28,LOW
QRY000101,USR00519,DBA,IT,FinanceDB,tickets,SELECT,SELECT * FROM tickets,527,403,2026-02-03 04:07:19,14,Sunday,True,2.138.13.241,India,Tablet,False,1.74,0,6,LOW,True,9.23,LOW
QRY000102,USR00239,Manager,Security,AuditDB,logs,UPDATE,UPDATE logs SET status='active',447,106,2026-06-10 02:32:31,6,Sunday,True,110.3.184.24,India,Linux Workstation,False,8.1,1,3,HIGH,False,13.35,LOW
QRY000103,USR00627,Developer,Finance,AuditDB,employees,DELETE,DELETE FROM employees,904495,9907,2026-03-11 01:23:10,6,Monday,False,193.212.144.238,Russia,Linux Workstation,True,432.19,3,92,LOW,False,295.67,HIGH
QRY000104,USR00624,Manager,HR,HRDB,inventory,SELECT,SELECT * FROM inventory,391,245,2026-05-18 17:00:07,10,Thursday,False,114.177.112.128,India,Windows Laptop,False,4.47,1,9,LOW,False,21.99,LOW
QRY000105,USR00515,Developer,HR,CustomerDB,tickets,INSERT,INSERT INTO tickets VALUES (...),313,409,2026-05-12 23:55:49,8,Sunday,True,84.84.13.231,India,Windows Laptop,False,1.67,1,3,CRITICAL,False,12.7,LOW
QRY000106,USR00981,Manager,Operations,CustomerDB,logs,UPDATE,UPDATE logs SET status='active',162,248,2026-01-04 12:58:02,3,Wednesday,False,71.56.145.86,India,Mobile,False,9.44,0,2,LOW,False,3.96,LOW
QRY000107,USR00113,DBA,HR,FinanceDB,products,SELECT,SELECT * FROM products,27098,2862,2026-03-28 02:09:15,9,Friday,False,20.42.53.56,Brazil,Windows Laptop,False,60.94,1,15,LOW,True,39.3,MEDIUM
QRY000108,USR00789,Manager,Operations,PayrollDB,tickets,UPDATE,UPDATE tickets SET status='active',493,79,2026-03-03 15:41:06,16,Saturday,True,34.244.229.83,India,Tablet,False,6.64,1,5,HIGH,False,16.21,LOW
QRY000109,USR00944,SecurityAnalyst,HR,CustomerDB,products,SELECT,SELECT * FROM products,20438,1859,2026-05-24 01:36:46,14,Saturday,True,96.163.249.214,India,Mobile,False,34.12,1,22,MEDIUM,False,46.46,MEDIUM
QRY000110,USR00242,Developer,Operations,PayrollDB,employees,SELECT,SELECT * FROM employees,17924,560,2026-02-13 02:56:48,14,Sunday,True,28.151.54.138,India,Mobile,True,74.91,2,28,HIGH,False,67.28,MEDIUM
QRY000111,USR00959,Developer,Finance,FinanceDB,salary,UPDATE,UPDATE salary SET status='active',38533,2635,2026-04-10 04:55:16,12,Wednesday,False,186.147.110.160,India,Mobile,True,52.02,2,13,MEDIUM,False,44.56,MEDIUM
QRY000112,USR00065,Developer,IT,HRDB,inventory,INSERT,INSERT INTO inventory VALUES (...),130,191,2026-03-01 10:13:29,15,Thursday,False,10.240.169.156,India,Mobile,False,5.89,0,2,CRITICAL,False,3.6,LOW
QRY000113,USR01067,Manager,HR,HRDB,inventory,UPDATE,UPDATE inventory SET status='active',197,102,2026-06-08 20:19:38,8,Friday,False,88.150.0.89,India,Windows Laptop,False,4.74,1,6,HIGH,False,17.49,LOW
QRY000114,USR00296,DBA,Security,PayrollDB,tickets,UPDATE,UPDATE tickets SET status='active',46106,1195,2026-02-25 03:31:03,14,Wednesday,False,207.255.192.124,Brazil,Linux Workstation,False,20.07,1,14,HIGH,True,35.62,MEDIUM
QRY000115,USR01164,DBA,Finance,FinanceDB,tickets,INSERT,INSERT INTO tickets VALUES (...),266,107,2026-04-30 13:57:20,16,Wednesday,False,173.23.228.143,India,Mobile,False,7.09,0,4,HIGH,True,6.74,LOW
